Date   Confirmed_Case
04-12-2020   20852
04-13-2020   22025
04-14-2020   23248
04-15-2020   24593
04-16-2020   25734
04-17-2020   27578
04-18-2020   29160
04-19-2020   30357
04-20-2020   31513
04-21-2020   33059
04-22-2020   35107
04-23-2020   36937
04-24-2020   39658
04-25-2020   41777
04-26-2020   43903
04-27-2020   45883
04-28-2020   48102
04-29-2020   50358
04-30-2020   52918
05-01-2020   56055
05-02-2020   58505
05-03-2020   61499
05-04-2020   63777
05-05-2020   65889
05-06-2020   68232
05-07-2020   70871
05-08-2020   73760
05-09-2020   76085
05-10-2020   77741
05-11-2020   79007
05-12-2020   83021
05-13-2020   84694
05-14-2020   87937
05-15-2020   90369
05-16-2020   92457
05-17-2020   94191
05-18-2020   96485
05-19-2020   98030
05-20-2020   100418
05-21-2020   102688
05-22-2020   105444
05-23-2020   107796
05-24-2020   110304
05-25-2020   112017
05-26-2020   113195
05-27-2020   114306
05-28-2020   115833
05-29-2020   117455
05-30-2020   118917
05-31-2020   120260
06-01-2020   121234
06-02-2020   122848
06-03-2020   123830
06-04-2020   124759
06-05-2020   125915
06-06-2020   126890
06-07-2020   127757
06-08-2020   128415
06-09-2020   129212
06-10-2020   129837
06-11-2020   130603
06-12-2020   131198
06-13-2020   131871
06-14-2020   132543
06-15-2020   133016
06-16-2020   133639
06-17-2020   134185
06-18-2020   134778
06-19-2020   135470
06-20-2020   136104
06-21-2020   136762
06-22-2020   137224
06-23-2020   137825
06-24-2020   138540
06-25-2020   139434
06-26-2020   140291
06-27-2020   141077
06-28-2020   141723
06-29-2020   142461
06-30-2020   143185
07-01-2020   144013
07-02-2020   144013
07-03-2020   145750
07-04-2020   146612
07-05-2020   147251
07-06-2020   147865
07-07-2020   149574
